shortest,6, 6509$$6512$$6558$$6512$$6513$$6519
frail,5, 17$$1759$$3690$$4985$$5467
conceivable,5, 34$$722$$3426$$4527$$6362
grimy,5, 39$$1052$$1516$$3401$$4682
distaste,5, 40$$40$$549$$1062$$2174
glitter,5, 48$$1320$$3822$$4415$$4515
decisive,5, 99$$475$$3796$$3865$$3894
interminable,5, 117$$1056$$1439$$3238$$4299
sheer,5, 122$$2316$$2659$$3392$$5202
spanner,5, 138$$349$$351$$354$$2807
programme,5, 175$$722$$2995$$4073$$5442
sprang,5, 177$$532$$769$$1123$$4325
oneself,5, 183$$2845$$3146$$5036$$5932
despise,5, 190$$946$$1162$$3329$$4710
unnecessary,5, 212$$786$$3843$$4085$$6485
horde,5, 217$$6246$$6408$$217$$6408
hallucination,5, 220$$2128$$4965$$5929$$5973
flog,5, 221$$1272$$1300$$1663$$5816
savage,5, 239$$358$$398$$3001$$3713
entrails,5, 243$$2192$$4326$$4575$$4587
scribble,5, 268$$466$$1401$$3207$$3589
hysteria,5, 298$$2637$$3789$$3868$$4212
kneel,5, 337$$2264$$2459$$2474$$3980
hanged,5, 383$$820$$827$$2233$$3700
clip,5, 395$$654$$678$$746$$6556
procession,5, 400$$2352$$2372$$2995$$3700
dreamed,5, 408$$3219$$3473$$3838$$5861
pitch,5, 408$$2645$$3744$$4086$$4507
